Dr No,Area ID,Area Name,Crm Cd,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Crm Cd Desc,Cross Street,Date Occ,Date Rp Td,Latitude,Location,Location 1,Longitude,Mo Codes,Neighborhood,Neighborhood Council,Prem Is Cd,Prem Is Desc,Rpt Dist No,Status,Status Desc,Time Occ,Tract,Vict Age,Vict Descent,Vict Sex,Weapon Desc,Weapon Used Cd,Zip Code
181414823,,Pacific,624,624,946,,,BATTERY - SIMPLE ASSAULT,OCEAN FRONT,2018-06-23T00:00:00.000-07:00,2018-06-23T00:00:00.000-07:00,34.0167,HORIZON,0101000020E6100000ADFA5C6DC59A5DC0EEEBC03923024140,-118.4183,0400 0416 0417 0903 1601 1218 2058 1510,palms,115,148,PUBLIC RESTROOM/OUTSIDE*,1437,IC ,Invest Cont,2000,271801,26,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90034
190706228,,Wilshire,956,956,,,,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",,2019-02-14T00:00:00.000-08:00,2019-02-15T00:00:00.000-08:00,34.0782,7600 BEVERLY BL,0101000020E610000017B7D100DE965DC00B462575020A4140,-118.3573,0903 1528 2053 1501,fairfax,58,721,HIGH SCHOOL,713,IC ,Invest Cont,1415,214400,40,W,F,,,90036
190717130,,Wilshire,761,761,946,,,BRANDISH WEAPON,3RD ST,2019-09-25T00:00:00.000-07:00,2019-09-25T00:00:00.000-07:00,34.0689,DETROIT AV,0101000020E610000060764F1E16965DC0E25817B7D1084140,-118.3451,2056 1514 1822 2004 0903 0334,mid-wilshire,58,102,SIDEWALK,726,IC ,Invest Cont,0830,214000,65,B,M,KNIFE WITH BLADE 6INCHES OR LESS,200,90036
190813124,,West LA,310,310,,,,BURGLARY,,2019-07-23T00:00:00.000-07:00,2019-07-23T00:00:00.000-07:00,34.0501,1200 BARRY AV,0101000020E6100000EF384547729D5DC0CAC342AD69064140,-118.4601,1602 1606 2054 1536 0321 0903 0329 0319 0344 0352,brentwood,,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",842,IC ,Invest Cont,1030,264301,56,W,M,,,90025
181407775,,Pacific,740,740,946,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-03-05T00:00:00.000-08:00,2018-03-05T00:00:00.000-08:00,34.0041,3900 INGLEWOOD BL,0101000020E61000002C6519E2589B5DC0F1F44A5986004140,-118.4273,2036 0903 0329 2054 1536,mar-vista,67,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1446,IC ,Invest Cont,0900,272302,30,W,F,,,90066
191418021,,Pacific,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-08-10T00:00:00.000-07:00,2019-08-13T00:00:00.000-07:00,33.9975,200 MAIN ST,0101000020E61000002DB29DEFA79E5DC048E17A14AEFF4040,-118.479,0903 1907 2202,venice,68,730,SYNAGOGUE/TEMPLE,1412,IC ,Invest Cont,1700,273402,0,X,X,,,90291
180817399,,West LA,930,930,946,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-10-07T00:00:00.000-07:00,2018-10-07T00:00:00.000-07:00,34.0572,1100 S SHERBOURNE DR,0101000020E6100000DCD7817346985DC065AA605452074140,-118.3793,1251 1259 0447 0903 0432 0340 2004 0443 2053 1528,pico-robertson,61,102,SIDEWALK,849,IC ,Invest Cont,1510,216401,16,W,M,UNKNOWN WEAPON/OTHER WEAPON,500,90035
190106909,,Central,745,745,946,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-02-11T00:00:00.000-08:00,2019-02-12T00:00:00.000-08:00,34.0388,1400 S FLOWER ST,0101000020E6100000371AC05B20915DC0DB8AFD65F7044140,-118.2676,2054 1536 0329 0311 0903,downtown,52,203,OTHER BUSINESS,192,IC ,Invest Cont,0340,224010,34,H,M,,,90015
190805837,,West LA,740,740,903,946,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-02-11T00:00:00.000-08:00,2019-02-12T00:00:00.000-08:00,34.0537,11600 SAN VICENTE BL,0101000020E6100000840D4FAF949D5DC0C9E53FA4DF064140,-118.4622,2053 1528 0311 0903 1300,brentwood,,108,PARKING LOT,832,IC ,Invest Cont,0600,264103,46,A,F,,,90049
192019268,,Olympic,946,946,,,,OTHER MISCELLANEOUS CRIME,,2019-10-31T00:00:00.000-07:00,2019-11-01T00:00:00.000-07:00,34.0636,3600 WILSHIRE BL,0101000020E6100000D6C56D3480935DC04703780B24084140,-118.3047,0311 0329 0903 0921,koreatown,55,730,SYNAGOGUE/TEMPLE,2024,IC ,Invest Cont,2300,211802,0,X,X,,,90020
191806500,,Southeast,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-02-13T00:00:00.000-08:00,2019-02-13T00:00:00.000-08:00,33.9449,10100 S CENTRAL AV,0101000020E6100000787AA52C43905DC0C5FEB27BF2F84040,-118.2541,0903 1506 2057 0416 0446,green-meadows,87,406,OTHER STORE,1824,AA ,Adult Arrest,1200,240700,38,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90002
191006267,,West Valley,624,624,,,,BATTERY - SIMPLE ASSAULT,GLORIA AV,2019-02-20T00:00:00.000-08:00,2019-02-20T00:00:00.000-08:00,34.2012,SHERMAN WY,0101000020E6100000423EE8D9AC9E5DC044FAEDEBC0194140,-118.4793,2058 1510 0400 0416 0903,van-nuys,19,111,BUS-CHARTER/PRIVATE,1018,IC ,Invest Cont,1545,127400,42,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91406
181315135,,Newton,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-07-08T00:00:00.000-07:00,2018-07-08T00:00:00.000-07:00,34.0037,4400 S CENTRAL AV,0101000020E6100000B1E1E995B2905DC0637FD93D79004140,-118.2609,0416 1309 0446 2035 0903 2055 1516,south-park,125,212,TRANSPORTATION FACILITY (AIRPORT),1353,IC ,Invest Cont,2050,228600,32,H,F,VERBAL THREAT,511,90011
190107071,,Central,624,624,998,,,BATTERY - SIMPLE ASSAULT,BROOKLYN,2019-02-15T00:00:00.000-08:00,2019-02-15T00:00:00.000-08:00,34.0615,ALAMEDA,0101000020E6100000E5F21FD26F8F5DC01D5A643BDF074140,-118.2412,1239 2058 1510 1402 0903 0910 2004 1218,chinatown,46,900,MTA - RED LINE - UNION STATION,111,AA ,Adult Arrest,0525,207102,41,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90012
191300558,,Newton,761,761,,,,BRANDISH WEAPON,35TH ST,2019-02-16T00:00:00.000-08:00,2019-02-16T00:00:00.000-08:00,34.0174,JEFFERSON BL,0101000020E61000000612143FC6905DC0A779C7293A024140,-118.2621,2055 1516 0432 0421 2035 0334 0903,historic-south-central,78,102,SIDEWALK,1333,IC ,Invest Cont,1640,226700,44,H,M,SEMI-AUTOMATIC PISTOL,109,90011
191817353,,Southeast,235,235,,,,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,,2019-08-07T00:00:00.000-07:00,2019-08-07T00:00:00.000-07:00,33.9601,8600 ORCHARD AV,0101000020E6100000917EFB3A70925DC0DE718A8EE4FA4040,-118.2881,0906 1516 0342 0416 1257 0216 0903 2056,vermont-knolls,87,101,STREET,1801,IC ,Invest Cont,1225,238320,2,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90044
190606902,,Hollywood,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-02-18T00:00:00.000-08:00,2019-02-19T00:00:00.000-08:00,34.098,7300 W SUNSET BL,0101000020E61000003C4ED1915C965DC0068195438B0C4140,-118.3494,0329 0903 2054 1536,hollywood,29,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),644,IC ,Invest Cont,1900,189905,0,X,X,,,90046
192018298,,Olympic,310,310,,,,BURGLARY,,2019-10-12T00:00:00.000-07:00,2019-10-12T00:00:00.000-07:00,34.0454,2600 W 15TH ST,0101000020E610000089D2DEE00B935DC0849ECDAACF054140,-118.2976,1907 0321 0329 0342 0903 0344,pico-union,76,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),2076,IC ,Invest Cont,0300,221220,0,X,X,,,90006
190713647,,Wilshire,624,624,,,,BATTERY - SIMPLE ASSAULT,VISTA ST,2019-07-14T00:00:00.000-07:00,2019-07-14T00:00:00.000-07:00,34.0704,3RD ST,0101000020E6100000AD69DE718A965DC0B7D100DE02094140,-118.3522,0903 0416 2056 1520,fairfax,58,103,ALLEY,725,AO ,Adult Other,1311,214000,56,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90036
191106524,,Northeast,946,946,998,,,OTHER MISCELLANEOUS CRIME,,2019-02-20T00:00:00.000-08:00,2019-02-20T00:00:00.000-08:00,34.1018,1700 N EDGEMONT ST,0101000020E6100000D044D8F0F4925DC0CC5D4BC8070D4140,-118.2962,2054 1536 0329 1402 1405 0903,los-feliz,36,145,MAIL BOX,1141,IC ,Invest Cont,0845,189201,34,W,M,,,90027
180617027,,Hollywood,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2018-07-26T00:00:00.000-07:00,2018-07-26T00:00:00.000-07:00,34.0865,5000 MELROSE AV,0101000020E61000008E06F01648945DC0508D976E120B4140,-118.3169,0903 0400 0416 0302 0312 0334 2036 1222 2054 1536,hollywood,33,102,SIDEWALK,677,IC ,Invest Cont,2245,191710,31,B,M,HAND GUN,102,90038
182105509,,Topanga,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-02-01T00:00:00.000-08:00,2018-02-01T00:00:00.000-08:00,34.2065,7500 ALABAMA AV,0101000020E610000027C286A757A65DC0DF4F8D976E1A4140,-118.5991,0903 2054 1538,canoga-park,13,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",2136,AA ,Adult Arrest,0900,134522,28,H,F,,,91303
190806283,,West LA,946,946,,,,OTHER MISCELLANEOUS CRIME,,2019-02-21T00:00:00.000-08:00,2019-02-21T00:00:00.000-08:00,34.0383,2600 S ROBERTSON BL,0101000020E61000000D71AC8BDB985DC0E9B7AF03E7044140,-118.3884,2053 1528 0329 2035 0903,mid-city,61,203,OTHER BUSINESS,898,IC ,Invest Cont,1700,269700,65,W,M,,,90034
191417981,,Pacific,745,745,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-08-07T00:00:00.000-07:00,2019-08-12T00:00:00.000-07:00,33.995,300 SUNSET AV,0101000020E61000002D211FF46C9E5DC08FC2F5285CFF4040,-118.4754,0329 0903 0311,venice,68,203,OTHER BUSINESS,1413,IC ,Invest Cont,0900,273300,60,W,F,,,90291
180405481,,Hollenbeck,930,930,946,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-02-02T00:00:00.000-08:00,2018-02-03T00:00:00.000-08:00,34.0589,1700 MARENGO ST,0101000020E61000004BC8073D9B8D5DC001DE02098A074140,-118.2126,0903 0443 2058 1510,boyle-heights,47,210,RESTAURANT/FAST FOOD,442,AO ,Adult Other,1735,203300,31,H,F,,,90033
190317179,,Southwest,624,624,,,,BATTERY - SIMPLE ASSAULT,,2019-07-21T00:00:00.000-07:00,2019-07-21T00:00:00.000-07:00,34.0349,1400 W ADAMS BL,0101000020E6100000BBB88D06F0925DC0B1506B9A77044140,-118.2959,0448 0416 1309 1516 2056 0903 2021,adams-normandie,771,708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),317,AA ,Adult Arrest,0900,221601,40,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90007
182105880,,Topanga,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-02-08T00:00:00.000-08:00,2018-02-08T00:00:00.000-08:00,34.2234,20900 ROSCOE BL,0101000020E61000002EFF21FDF6A55DC094F6065F981C4140,-118.5932,0443 0416 0903 2024 2055 1520,canoga-park,13,210,RESTAURANT/FAST FOOD,2107,IC ,Invest Cont,1650,113234,57,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91304
181806334,,Southeast,210,210,,,,ROBBERY,,2018-02-10T00:00:00.000-08:00,2018-02-10T00:00:00.000-08:00,33.9429,400 E 103RD ST,0101000020E6100000228E75711B915DC0FFB27BF2B0F84040,-118.2673,0903 1822 0336 0334 0416 0417 0352 2055 1516,green-meadows,87,101,STREET,1823,IC ,Invest Cont,2200,240600,44,H,M,OTHER KNIFE,207,90003
180506018,,Harbor,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2018-02-12T00:00:00.000-08:00,2018-02-12T00:00:00.000-08:00,33.8316,1300 W CARSON ST,0101000020E61000006C787AA52C935DC043AD69DE71EA4040,-118.2996,0903 0417 0416 1222 2054 1536,harbor-gateway,91,108,PARKING LOT,506,AA ,Adult Arrest,1130,293201,45,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90501
180806076,,West LA,740,740,946,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-02-14T00:00:00.000-08:00,2018-02-15T00:00:00.000-08:00,34.0669,10400 WILSHIRE BL,0101000020E610000096218E75719B5DC01B0DE02D90084140,-118.4288,0903 2036 2035 0329 2053 1528,westwood,63,507,CONDOMINIUM/TOWNHOUSE,829,IC ,Invest Cont,2330,265700,34,O,M,,,90024
180706469,,Wilshire,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-02-16T00:00:00.000-08:00,2018-02-23T00:00:00.000-08:00,34.0761,100 THE GROVE DR,0101000020E610000026E4839ECD965DC0E09C11A5BD094140,-118.3563,1501 0903 2054 1536,fairfax,58,727,SHOPPING MALL (COMMON AREA),724,AO ,Adult Other,1422,214501,0,B,F,VERBAL THREAT,511,90036
181600660,,Foothill,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,GLENTIES WY,2018-02-18T00:00:00.000-08:00,2018-02-18T00:00:00.000-08:00,34.2524,MCGROARTY ST,0101000020E61000008126C286A7935DC055C1A8A44E204140,-118.3071,0903 0421 2055 1512,tujunga,10,102,SIDEWALK,1656,AO ,Adult Other,1640,101400,55,O,M,VERBAL THREAT,511,91040
181307538,,Newton,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",CENTRAL AV,2018-03-03T00:00:00.000-08:00,2018-03-03T00:00:00.000-08:00,33.998,50TH ST,0101000020E610000023DBF97E6A905DC039B4C876BEFF4040,-118.2565,0334 0432 0319 0903 1516 2055,south-park,125,102,SIDEWALK,1364,IC ,Invest Cont,1930,229200,40,H,M,STUN GUN,513,90011
180814764,,West LA,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2018-08-04T00:00:00.000-07:00,2018-08-15T00:00:00.000-07:00,34.0508,2300 FOX HILLS DR,0101000020E6100000C3F5285C8F9A5DC08351499D80064140,-118.415,2035 0329 0903 0917 0447 2055 1516,century-city,62,104,DRIVEWAY,848,AO ,Adult Other,0830,267902,29,H,M,SCALDING LIQUID,510,90064
190814015,,West LA,761,761,,,,BRANDISH WEAPON,,2019-08-11T00:00:00.000-07:00,2019-08-11T00:00:00.000-07:00,34.0473,12000 WILSHIRE BL,0101000020E6100000E6AE25E4839E5DC0E78C28ED0D064140,-118.4768,2055 1514 0903 1822 0340 2004 2035 0334 0432 0319,brentwood,,203,OTHER BUSINESS,831,AA ,Adult Arrest,2130,264302,46,B,F,UNKNOWN TYPE CUTTING INSTRUMENT,223,90049
190500582,,Harbor,745,745,903,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),9TH ST,2019-02-22T00:00:00.000-08:00,2019-02-23T00:00:00.000-08:00,33.7361,WALKER ST,0101000020E6100000CF66D5E76A935DC0F54A598638DE4040,-118.3034,0329 0903 1300 2053 1531,san-pedro,94,122,"VEHICLE, PASSENGER/TRUCK",562,IC ,Invest Cont,1400,297000,59,W,M,,,90731
181411614,,Pacific,745,745,998,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-03-18T00:00:00.000-07:00,2018-03-19T00:00:00.000-07:00,34.0084,3600 OCEAN VIEW AV,0101000020E61000001D5A643BDF9B5DC0A9A44E4013014140,-118.4355,0329 1402 0903,mar-vista,67,501,SINGLE FAMILY DWELLING,1435,IC ,Invest Cont,0001,271902,59,W,M,,,90066
190806320,,West LA,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-02-22T00:00:00.000-08:00,2019-02-22T00:00:00.000-08:00,34.041,2000 S CORNING ST,0101000020E61000001C7C613255985DC06891ED7C3F054140,-118.3802,2055 1514 0903 0421 2035 0432,mid-city,61,101,STREET,889,IC ,Invest Cont,1520,269601,30,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90034
190406200,,Hollenbeck,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-02-22T00:00:00.000-08:00,2019-02-22T00:00:00.000-08:00,34.0188,3600 E OLYMPIC BL,0101000020E6100000BE9F1A2FDD8C5DC01895D40968024140,-118.201,2055 1516 0903 0334 0302,boyle-heights,50,108,PARKING LOT,499,IC ,Invest Cont,1624,204920,35,H,F,OTHER FIREARM,107,90023
181409433,,Pacific,930,930,946,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-03-31T00:00:00.000-07:00,2018-03-31T00:00:00.000-07:00,34.0271,2600 S BARRINGTON AV,0101000020E6100000F163CC5D4B9C5DC05DDC460378034140,-118.4421,0903 2002 2035 2054 1536,sawtelle,67,707,GARAGE/CARPORT,1402,IC ,Invest Cont,1500,271300,32,W,M,VERBAL THREAT,511,90064
181409565,,Pacific,230,230,946,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",LOYOLA,2018-04-02T00:00:00.000-07:00,2018-04-02T00:00:00.000-07:00,33.9598,MANCHESTER,0101000020E6100000910F7A36AB9A5DC0B459F5B9DAFA4040,-118.4167,0400 0416 0903 2035 2055 1514,westchester,71,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,1484,IC ,Invest Cont,1745,276500,27,O,M,BOARD,309,90045
181809176,,Southeast,930,930,946,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2018-04-04T00:00:00.000-07:00,2018-04-04T00:00:00.000-07:00,33.9329,11200 S FIGUEROA ST,0101000020E610000060764F1E16925DC01D38674469F74040,-118.2826,0906 0371 0903 2036 1822 2054 1536,vermont-vista,90,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1842,IC ,Invest Cont,1500,241202,27,B,M,VERBAL THREAT,511,90044
191204076,,77th Street,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",BROADWAY ST,2019-01-01T00:00:00.000-08:00,2019-01-02T00:00:00.000-08:00,33.966,81ST ST,0101000020E6100000849ECDAACF915DC0CFF753E3A5FB4040,-118.2783,0342 0416 0305 0429 0319 1536 2054 2055 1514 0903,florence,86,101,STREET,1268,IC ,Invest Cont,2000,239701,29,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90003
182009219,,Olympic,740,740,946,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",VERMONT AV,2018-04-06T00:00:00.000-07:00,2018-04-08T00:00:00.000-07:00,34.0709,2ND ST,0101000020E61000003B70CE88D2925DC0A9A44E4013094140,-118.2941,0329 0319 1310 0202 1202 0903 2055 1514,koreatown,55,101,STREET,2017,IC ,Invest Cont,2230,211320,70,B,M,,,90004
180300647,,Southwest,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-04-18T00:00:00.000-07:00,2018-04-24T00:00:00.000-07:00,34.0141,4000 COCO AV,0101000020E61000001895D40968965DC0D26F5F07CE014140,-118.3501,0329 0903 1300 2036 1222 2054 1536,baldwin-hillscrenshaw,79,122,"VEHICLE, PASSENGER/TRUCK",362,IC ,Invest Cont,0700,236204,32,B,M,,,90008
181009087,,West Valley,624,624,,,,BATTERY - SIMPLE ASSAULT,,2018-04-21T00:00:00.000-07:00,2018-04-21T00:00:00.000-07:00,34.2067,15600 COHASSET ST,0101000020E6100000C364AA60549E5DC0A60A4625751A4140,-118.4739,0400 0444 0906 0903 0443 0913,van-nuys,19,501,SINGLE FAMILY DWELLING,1019,AO ,Adult Other,2315,127400,40,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91406
181500784,,N Hollywood,230,230,761,946,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",LANKERSHIM BL,2018-04-21T00:00:00.000-07:00,2018-04-22T00:00:00.000-07:00,34.194,VANOWEN AV,0101000020E6100000302AA913D0985DC046B6F3FDD4184140,-118.3877,0903 1822 0334 0445 0421 2035 2036 0411 2055 1514,north-hollywood,23,101,STREET,1516,AA ,Adult Arrest,1955,123205,46,B,M,OTHER KNIFE,207,91605
190514891,,Harbor,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-09-01T00:00:00.000-07:00,2019-09-01T00:00:00.000-07:00,33.727,500 W 19TH ST,0101000020E6100000DF4F8D976E925DC0931804560EDD4040,-118.288,0216 0311 0329 0903 1309 2057 1528,san-pedro,96,103,ALLEY,585,IC ,Invest Cont,2030,297201,35,H,M,,,90731
181009121,,West Valley,745,745,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2018-04-22T00:00:00.000-07:00,2018-04-22T00:00:00.000-07:00,34.1674,5300 WHITE OAK AV,0101000020E610000029ED0DBE30A15DC0DAACFA5C6D154140,-118.5186,0329 0903 2054 1536,encino,18,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1067,IC ,Invest Cont,1940,139504,51,W,M,,,91316
181411037,,Pacific,740,740,946,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2018-04-23T00:00:00.000-07:00,2018-04-26T00:00:00.000-07:00,34.0084,3600 OCEAN VIEW AV,0101000020E61000001D5A643BDF9B5DC0A9A44E4013014140,-118.4355,0329 0903 2053 1528,mar-vista,67,101,STREET,1435,AO ,Adult Other,2030,271902,59,W,M,,,90066
190607397,,Hollywood,624,624,,,,BATTERY - SIMPLE ASSAULT,,2019-03-02T00:00:00.000-08:00,2019-03-02T00:00:00.000-08:00,34.1016,6300 HOLLYWOOD BL,0101000020E61000009BE61DA7E8945DC005A3923A010D4140,-118.3267,0400 0416 0903 1414 2054 1536,hollywood,32,102,SIDEWALK,646,IC ,Invest Cont,0135,190700,22,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90028
191107042,,Northeast,745,745,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-03-04T00:00:00.000-08:00,2019-03-05T00:00:00.000-08:00,34.1013,2000 N SAN FERNANDO RD,0101000020E6100000DE02098A1F8F5DC0DB8AFD65F70C4140,-118.2363,0329 0903 2055 1513 1514 2036 2304,cypress-park,102,721,HIGH SCHOOL,1157,IC ,Invest Cont,1030,185203,0,X,X,,,90065
192106823,,Topanga,928,928,946,,,THREATENING PHONE CALLS/LETTERS,,2019-03-05T00:00:00.000-08:00,2019-03-05T00:00:00.000-08:00,34.1695,20300 VENTURA BL,0101000020E61000001B9E5E29CBA45DC004560E2DB2154140,-118.5749,2053 1528 0903 0421,woodland-hills,16,203,OTHER BUSINESS,2189,IC ,Invest Cont,1420,137501,63,W,F,VERBAL THREAT,511,91364
191712112,,Devonshire,624,624,,,,BATTERY - SIMPLE ASSAULT,,2019-06-27T00:00:00.000-07:00,2019-06-27T00:00:00.000-07:00,34.2283,15700 PARTHENIA ST,0101000020E6100000D8F0F44A599E5DC0A1D634EF381D4140,-118.4742,2036 0429 0416 0444 0334 0903,north-hills,111,101,STREET,1799,IC ,Invest Cont,2200,117404,29,O,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,91343
191707481,,Devonshire,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-03-18T00:00:00.000-07:00,2019-03-18T00:00:00.000-07:00,34.2637,17700 KINGSBURY ST,0101000020E6100000CCEEC9C342A15DC044FAEDEBC0214140,-118.5197,0903 0443 1202 2024,granada-hills,118,101,STREET,1745,AA ,Adult Arrest,0310,111301,32,W,M,VERBAL THREAT,511,91344
180415305,,Hollenbeck,230,230,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2018-08-31T00:00:00.000-07:00,2018-09-25T00:00:00.000-07:00,34.0469,2400 E CESAR E CHAVEZ AV,0101000020E610000005A3923A018D5DC05917B7D100064140,-118.2032,0903 2055 1520,boyle-heights,50,203,OTHER BUSINESS,457,IC ,Invest Cont,2233,203720,36,H,M,BOTTLE,212,90033
191408812,,Pacific,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-03-19T00:00:00.000-07:00,2019-03-20T00:00:00.000-07:00,34.01,3300 MOORE ST,0101000020E6100000B84082E2C79C5DC0E17A14AE47014140,-118.4497,2053 1528 0903 0329 1300,mar-vista,67,101,STREET,1416,IC ,Invest Cont,2130,271400,47,W,F,,,90066
190707858,,Wilshire,930,930,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-03-20T00:00:00.000-07:00,2019-03-20T00:00:00.000-07:00,34.0653,6300 W 6TH ST,0101000020E61000008FC2F5285C975DC0E3361AC05B084140,-118.365,0411 0903 2054 1536,beverly-grove,58,501,SINGLE FAMILY DWELLING,732,IC ,Invest Cont,1200,214700,53,O,M,VERBAL THREAT,511,90048
190309256,,Southwest,740,740,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-03-21T00:00:00.000-07:00,2019-03-22T00:00:00.000-07:00,33.9993,3000 W 52ND ST,0101000020E6100000A2B437F8C2945DC04772F90FE9FF4040,-118.3244,1517 0903 0311 2035 2036 2055 0329,hyde-park,80,721,HIGH SCHOOL,392,JA ,Juv Arrest,1800,234501,18,X,X,,,90043
191408945,,Pacific,745,745,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-03-22T00:00:00.000-07:00,2019-03-22T00:00:00.000-07:00,34.0301,10800 NATIONAL BL,0101000020E61000007A36AB3E579B5DC007CE1951DA034140,-118.4272,0329 1907 0903,rancho-park,62,203,OTHER BUSINESS,1403,IC ,Invest Cont,1610,271702,0,X,X,,,90064
191808806,,Southeast,624,624,,,,BATTERY - SIMPLE ASSAULT,,2019-03-23T00:00:00.000-07:00,2019-03-23T00:00:00.000-07:00,33.9487,10000 GRAPE ST,0101000020E6100000014D840D4F8F5DC08CDB68006FF94040,-118.2392,2058 0400 0416 0903 1510,watts,88,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1827,IC ,Invest Cont,1620,242200,24,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90002
190608600,,Hollywood,624,624,,,,BATTERY - SIMPLE ASSAULT,,2019-03-23T00:00:00.000-07:00,2019-03-24T00:00:00.000-07:00,34.1016,6700 HOLLYWOOD BL,0101000020E6100000E10B93A982955DC005A3923A010D4140,-118.3361,0903 2053 1532 0416,hollywood,29,101,STREET,646,IC ,Invest Cont,2340,190202,26,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,90028
